
field_date_completed | timestamp | Date Completed
field_how_many_trucks_taken | list_integer | How many Trucks were taken to this job
field_signed_off_by | entity_reference | Signed Off By → user
field_those_on_crew | entity_reference | Those on Crew → user
field_work_order | entity_reference | Work Order → work_order
field_work_order_completed | boolean | Completed

=== ENTITY: wo_complete_info | BUNDLE: spray_crew | Spray Crew ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_complete_info_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
changed | changed | Updated
default_langcode | boolean | Default translation
path | path | URL alias
field_canceled | boolean | Canceled
field_canceled_why | string_long | Why are you Canceling this WO
field_date_completed | timestamp | Date Completed
field_how_many_trucks_taken | list_integer | How many Trucks were taken to this job
field_signed_off_by | entity_reference | Signed Off By → user
field_those_on_crew | entity_reference | Those on Crew → user
field_work_order | entity_reference | Work Order → work_order
field_work_order_completed | boolean | Completed

=== ENTITY: wo_material_list | BUNDLE: estimate_list | Estimate List ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_material_list_type
title | string | Name
uid | entity_reference | Entered By → user
created | created | Entered on
changed | changed | Updated
default_langcode | boolean | Default translation
path | path | URL alias
field_estimate | entity_reference | Estimate → estimate
field_materials_for | string | Materials for

=== ENTITY: wo_material_list | BUNDLE: material_list | Material List ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_material_list_type
title | string | Title
uid | entity_reference | Authored by → user
created | created | Authored on
changed | changed | Updated
default_langcode | boolean | Default translation
path | path | URL alias
field_materials_for | string | Materials for
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_material_list_item | BUNDLE: items | WO Material List Items ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_material_list_item_type
uid | entity_reference | Entered by → user
created | created | Entered on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_alternate_name_description | string | Purchased Material Name(Description)
field_list_id | entity_reference | Material List Attached to → wo_material_list
field_material_cost | decimal | Material Cost(Per Each)
field_material_type | list_string | Aquired How
field_parts_used | entity_reference | Stocked Material Used → material
field_purchased_supplier | entity_reference | Purchased Supplier → supplier
field_quantity | integer | Quantity
field_reciept_pic | image | Receipt Picture
field_subtotal | decimal | Subtotal
field_subtotal_w_markup | decimal | Subtotal with Markup
field_supplier | entity_reference | Supplier → user

=== ENTITY: wo_material_dumping | BUNDLE: load | Dump Load ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_material_dumping_type
title | string | Title
uid | entity_reference | Authored by → user
created | created | Created on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_billing_adjustment | decimal | Billing Adjustment
field_dumping_how_many_full_load | integer | How many Full Loads
field_dump_fee | decimal | Dump Receipt Amount
field_dump_other_location | string | Dump Other location Description
field_dump_rate | decimal | Dump Rate
field_dump_total | decimal | Dump Total
field_load_s_amount | list_string | Load(s) Amount
field_reciept_pic | image | Reciept Picture
field_where_was_it_dumped | entity_reference | Where was it dumped? → taxonomy_term
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_notes | BUNDLE: note | note ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_notes_type
title | string | Title
uid | entity_reference | Entered By → user
created | created | Entered on
changed | changed | Updated
default_langcode | boolean | Default translation
path | path | URL alias
field_note_text | text_long | Note
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_rental_equipment | BUNDLE: equipment_rental | Equipment ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_rental_equipment_type
title | string | Title
uid | entity_reference | Authored by → user
created | created | Authored on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_equipment_rented | boolean | Was this equipment rented?
field_equipment_used | entity_reference | Equipment Used → equipment
field_hourly_rate | decimal | Hourly Rate
field_hours | decimal | Hours
field_receipt_total_cost | decimal | Receipt Total Cost
field_rental_equipment_name | string | What was rented?
field_rental_returned | boolean | Returned
field_rented_for | entity_reference | Used for → work_order
field_rented_from | entity_reference | Rented From → user

=== ENTITY: wo_spraying_conditions | BUNDLE: fertilizing | Fertilizing ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_spraying_conditions_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_carrier | entity_reference | Carrier → taxonomy_term
